entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
1,[*]C1=CC=CC=C1,C,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,10,DMF,O2,rt,48,0,0,69
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,[*]C1=CC=C(C)C=C1,H,OC1=CC=CC(O)=C1O,4,MeOH,air,rt,24,0,0,90
2,[*]C1=CC=C(C)C=C1,H,OC1=CC=CC(O)=C1N,4,MeOH,air,rt,24,0,0,5
3,[*]C1=CC=C(C)C=C1,H,OC1=C2C(C=CC=C(O)C2=O)=CC(O)=C1O,2,MeOH,air,rt,24,0,0,75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10,CH3CN,O2,rt,48,0,0,39
2,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(OC)C2=CC=CC=C2C1=O,10,CH3CN,O2,rt,48,0,0,64
3,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,O2,rt,48,0,0,69
4,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10,CH3CN,O2,rt,48,0,0,47
5,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10,CH3CN,O2,rt,48,0,0,63
6,[*]C1=CC=C(OC)C=C1,H,O=C1C(CCCCC)=C(CCCCC)C2=CC=CC=C2C1=O,10,CH3CN,O2,rt,48,0,0,9
7,[*]C1=CC=C(OC)C=C1,H,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10,CH3CN,O2,rt,48,0,0,29
8,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,PhCH3,O2,rt,48,0,0,25
9,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,THF,O2,rt,48,0,0,22
10,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,EtHO,O2,rt,48,0,0,50
11,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,O2,rt,48,0,0,28
12,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,20,CH3CN,O2,rt,24,0,0,91
13,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,0,0,33
14,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,18,5,0,99
15,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,18,2,0,99
16,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,1,CH3CN,O2,rt,60,1,0,80
17,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.5,CH3CN,O2,rt,60,0.5,0,65
18,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,18,1,0,83
19,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,1,CH3CN,O2,rt,18,2,0,43
