,entry,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),収率(%),R2_C,R2_H,under_O2,under_air,solvent_CH3CN,solvent_DMF,solvent_MeCN,solvent_MeOH,solvent_toluene
138,8,[*]C1=CC=CC=C1,O=C1C=CC2=CC=CC=C2C1=O,10.0,23,48.0,11.0,1,0,0,1,1,0,0,0,0
139,9,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,10.0,23,48.0,40.0,1,0,0,1,1,0,0,0,0
140,10,[*]C1=CC=CC=C1,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,21.0,1,0,0,1,1,0,0,0,0
141,11,[*]C1=CC=CC=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,8.0,1,0,0,1,1,0,0,0,0
142,12,[*]C1=CC=CC=C1,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,10.0,23,48.0,17.0,1,0,0,1,1,0,0,0,0
143,13,[*]C1=CC=CC=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,37.0,1,0,0,1,1,0,0,0,0
144,14,[*]C1=CC=CC=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,21.0,1,0,0,1,1,0,0,0,0
149,19,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,60,48.0,21.0,1,0,0,1,1,0,0,0,0
150,20,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,80,48.0,7.0,1,0,0,1,1,0,0,0,0
151,21,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,1,0,0,1,1,0,0,0,0
152,22,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,2.0,1,0,1,0,1,0,0,0,0
154,24,[*]C1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,15.0,80,48.0,14.0,1,0,0,1,1,0,0,0,0
156,3d,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,86.0,1,0,0,1,1,0,0,0,0
157,3e,[*]C1=CC=C(C)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,67.0,1,0,0,1,1,0,0,0,0
158,3f,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,69.0,1,0,0,1,1,0,0,0,0
159,3g,[*]C1=CC=C(F)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,88.0,1,0,0,1,1,0,0,0,0
160,3h,[*]C1=CC=C(Cl)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,80.0,1,0,0,1,1,0,0,0,0
161,3i,[*]C1=CC=C(Br)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,84.0,1,0,0,1,1,0,0,0,0
162,3j,[*]C1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,79.0,1,0,0,1,1,0,0,0,0
163,3k,[*]C1=CC=CC(Br)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,82.0,1,0,0,1,1,0,0,0,0
164,3l,[*]C1=CC=C(Cl)C(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,90.0,1,0,0,1,1,0,0,0,0
165,3m,[*]C1=CC=C([N+]([O-])=O)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,65.0,1,0,0,1,1,0,0,0,0
