,yield,412_organocatalyst,1948_organocatalyst,302_organocatalyst,1485_organocatalyst,1796_organocatalyst,892_organocatalyst,946_R1-,2006_organocatalyst,280_organocatalyst,1820_R1-,1813_R1-,934_organocatalyst,1214_organocatalyst,1114_R1-,778_organocatalyst,523_R1-,82_R1-,876_organocatalyst,1030_organocatalyst,1034_R1-,737_organocatalyst,1847_R1-,1696_organocatalyst,1622_organocatalyst,352_organocatalyst,1668_R1-,1920_organocatalyst,965_R1-,396_R1-,471_organocatalyst,1537_organocatalyst,1921_R1-,1115_organocatalyst,384_organocatalyst,919_organocatalyst,1939_R1-,1086_R1-,1102_organocatalyst,1332_organocatalyst,1443_organocatalyst,1342_R1-,1048_organocatalyst,704_organocatalyst,8_organocatalyst,967_organocatalyst,230_organocatalyst,1330_organocatalyst,1027_R1-,360_organocatalyst
11,93.0,1.3643285487298782,1.4884671694337863,1.0836663572003455,1.1972629838508448,0.4379846921494772,1.327236178219779,-0.9338867994574804,0.826048200562686,1.2430690056464688,-1.0632291354613486,-0.9548414685938388,1.7715498449396323,1.1294414518807394,-1.087699647379818,2.121955838222906,-1.116867108954793,-0.8596419478719819,1.6959699970232571,-0.0921655525425867,-0.9164987875799856,0.8584104289679294,-0.6413377223079884,0.8586869783581724,1.5650433848737595,1.5555429654064532,-0.954488976938903,1.2917474309022017,-0.5645043861840375,-0.8836164276890868,1.6860632366276485,1.349085423773822,-0.6885284018279777,2.1838103737510712,0.9117275968908084,0.8147197392099136,-0.6615162159299324,-0.7547517299176622,0.1323028933668649,1.956742282868904,-0.215555333766757,-0.7495139252799239,1.10989824489634,0.94277829538308,0.207550319560055,0.3947804637623628,2.0948955118400616,1.3294622938624834,-0.8506901346519857,0.5746294529747901
12,84.0,1.9540752990810293,1.9900695868172056,2.0775950724355208,1.0604175183157312,0.6360958389296878,1.327236178219779,-0.9338867994574804,0.826048200562686,1.5610589918748785,-1.0632291354613486,-0.9548414685938388,0.2117736143383135,1.2059366196995691,-1.087699647379818,2.121955838222906,-1.116867108954793,-0.8596419478719819,0.8344637021643148,-0.612980565941137,-0.9164987875799856,0.8584104289679294,-0.6413377223079884,0.8586869783581724,1.373159237214903,1.5555429654064532,-0.954488976938903,0.5466113688055768,-0.5645043861840375,-0.8836164276890868,1.6860632366276485,0.0072514752910465,-0.6885284018279777,2.1838103737510712,1.3617762348371252,-0.5118754922118353,-0.6615162159299324,-0.7547517299176622,2.49961807656643,2.8884677586361835,-0.215555333766757,-0.7495139252799239,1.10989824489634,1.8791640623961543,2.2699225417610203,0.2405785526377625,0.4734493256455355,-0.1589625821818235,-0.8506901346519857,1.7139356446755163
13,87.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,0.8586869783581724,-0.5909100114214836,-0.86607332713023,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,0.2260532797975309,0.6315083650112414,-0.6885284018279777,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,-0.8506901346519857,0.0660835083509571
14,85.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,1.0143859236275947,0.4439599673021102,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,0.5032660322826934,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,1.497519101456136,0.8586869783581724,-0.5909100114214836,-0.86607332713023,0.8042766245523878,-0.4042426327798996,1.2656250177860264,1.260736168298943,0.2260532797975309,0.6315083650112414,0.8245042447363555,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.3509734656013824,-0.7547517299176622,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,0.4167307111481485,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,1.7154111558438416,0.0660835083509571
15,85.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,1.0143859236275947,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,1.8691072746829436,-0.5880827047105909,-0.0921655525425867,0.7010518071357401,0.6012870265867295,1.1548656675878233,0.8586869783581724,-0.5909100114214836,-0.86607332713023,1.341052082979037,-0.4042426327798996,1.179818572445234,1.2879425190760434,0.2260532797975309,0.6315083650112414,1.3713159777578288,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,1.0715624640291084,1.860194230443196,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,1.6818719212677795,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,-0.0685778262085648,0.0660835083509571
16,86.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,0.8451672084107738,1.170917160603126,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.3053609796535012,-0.5880827047105909,-0.0921655525425867,-1.452313482221021,0.6012870265867295,-0.4229745169479398,0.8586869783581724,-0.5909100114214836,-0.86607332713023,0.9532881431932876,-0.4042426327798996,1.2656250177860264,1.798915073534994,0.2260532797975309,0.6315083650112414,-0.596733214245195,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,1.0715624640291084,-0.7547517299176622,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.0753909981608448,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,0.2500234825284912,0.0660835083509571
17,84.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,0.8451672084107738,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,-0.6414650612129099,-0.5880827047105909,-0.0921655525425867,1.1058224212837755,0.6012870265867295,-0.7370667996793787,0.8586869783581724,-0.5909100114214836,-0.86607332713023,0.9532881431932876,-0.4042426327798996,-0.1927519424564354,-0.8836164276890868,0.2260532797975309,0.6315083650112414,-0.6885284018279777,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.8988427540983809,-0.3881042847820861,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.2177623969175486,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,1.7154111558438416,0.0660835083509571
18,68.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,0.3810068651938893,-0.831765574858813,0.1968307319176934,0.8088328444728345,1.170917160603126,-0.6816169632266371,0.0433908039550543,0.7372147759914482,-0.5027093945162604,0.8889250455614218,0.078790666210544,-0.5880827047105909,-0.0921655525425867,1.1058224212837755,0.6012870265867295,-0.7370667996793787,0.8586869783581724,-0.5909100114214836,-0.86607332713023,0.9532881431932876,-0.4042426327798996,-1.1643993606247505,-0.3153435281931933,0.2260532797975309,0.6315083650112414,-0.596733214245195,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.8171446208424632,-0.3881042847820861,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.394939713481951,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,0.1804435285063736,0.0660835083509571
19,88.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,1.0143859236275947,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,1.8691072746829436,-0.5880827047105909,-0.0921655525425867,0.7010518071357401,0.6012870265867295,0.0800023818945569,0.8586869783581724,-0.5909100114214836,-0.86607332713023,1.341052082979037,-0.4042426327798996,1.179818572445234,1.2879425190760434,0.2260532797975309,0.6315083650112414,1.3713159777578288,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,1.0715624640291084,1.1899604438084423,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.463240763359664,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,-1.1201208859608265,0.0660835083509571
20,85.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,1.0143859236275947,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,1.8691072746829436,-0.5880827047105909,-0.0921655525425867,0.753431091472589,0.6012870265867295,1.1716077582521378,0.8586869783581724,-0.5909100114214836,-0.86607332713023,1.341052082979037,-0.4042426327798996,1.179818572445234,1.2879425190760434,0.2260532797975309,0.6315083650112414,1.3713159777578288,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,1.0715624640291084,1.860194230443196,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,1.6818719212677795,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,1.7154111558438416,0.0660835083509571
