"name","yield","temp(â)","time(h)","SLogP_x","ATS1s","AATS0p","AATSC0i","GATS4s","BalabanJ_y"
"84",8,-0.9356018128,1.087342821,-0.3897820659,2.6769513283,1.5319086426,-0.0444905254,0.7091484488,-1.6415086017
"85",17,-0.9356018128,1.087342821,-0.3897820659,0.6043809918,-0.1839219062,0.0921112009,1.0948739708,-0.3526087557
"86",37,-0.9356018128,1.087342821,-0.3897820659,0.1990375307,-0.0493726165,0.1399668747,0.1008691117,-0.9056949992
"87",21,-0.9356018128,1.087342821,-0.3897820659,-0.5547913427,0.6136151922,0.2632116237,0.7839108922,-0.5271782222
"88",21,0.1998520543,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"89",7,0.8136109015,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"90",0,0.8136109015,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"91",2,0.8136109015,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"92",14,0.8136109015,1.087342821,-0.3897820659,-1.3196245737,-0.5088464469,-0.0730892072,-0.0383284518,0.6619642746
"93",86,-0.9356018128,-0.1716857086,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"94",67,-0.9356018128,-0.1716857086,0.4458447233,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"95",69,-0.9356018128,-0.1716857086,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"96",88,-0.9356018128,-0.1716857086,-0.0129073938,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"97",80,-0.9356018128,-0.1716857086,1.3805264227,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"98",84,-0.9356018128,-0.1716857086,1.6761197134,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"99",79,-0.9356018128,-0.1716857086,1.3805264227,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"100",82,-0.9356018128,-0.1716857086,1.6761197134,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"101",90,-0.9356018128,-0.1716857086,3.1508349114,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"102",65,-0.9356018128,-0.1716857086,-0.6385030933,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"103",80,-0.9356018128,-0.1716857086,-0.9679636262,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"104",76,-0.9356018128,-0.1716857086,-1.1248366925,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"105",89,-0.9356018128,-0.1716857086,-0.2231552339,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"106",94,-0.9356018128,0.4578285562,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"107",99,-0.9356018128,1.087342821,-1.4924994747,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"108",80,-0.9356018128,1.087342821,-0.0129073938,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"109",97,-0.9356018128,1.087342821,1.3805264227,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"110",98,-0.9356018128,2.3463713507,1.6761197134,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"111",99,-0.9356018128,1.087342821,-0.6385030933,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"112",75,-0.9356018128,1.087342821,0.4458447233,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"113",95,-0.9356018128,1.087342821,-0.3664814033,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"114",95,-0.9356018128,1.087342821,1.3805264227,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"115",81,-0.9356018128,2.3463713507,1.3805264227,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"116",95,-0.9356018128,2.3463713507,1.6761197134,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"117",89,-0.9356018128,1.087342821,-0.3664814033,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"118",99,-0.9356018128,2.3463713507,1.2814715125,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"119",83,0.1998520543,1.087342821,-0.2231552339,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
"120",99,-0.9356018128,-0.8011999734,-0.3897820659,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
