name,ATS1s_SMILES,AATS0p_SMILES,AATSC0i_SMILES,GATS4s_SMILES,BalabanJ_SMILES
structure 21,140.1111111111111,1.6714662262122502,1.8175903740100547,0.8545355593371046,3.074051586443621
structure 22,158.22222222222223,1.326043990328041,1.2739999043304866,0.7895339801313559,3.397861752969197
structure 23,142.77777777777777,1.3883091619396002,1.4362143928936475,0.8360002328091598,3.074051586443622
structure 24,137.83333333333334,1.3403216341909514,1.3314434946875535,0.8926115900905821,3.0162788586443283
structure 25,137.19444444444446,1.3963811458714377,1.4392054989987764,0.743874284740186,2.995719611165074
structure 26,138.11111111111111,1.3041071750457252,1.306498525888968,0.707078583018987,3.016375177150167
structure 27,133.86111111111111,1.4035034846348236,1.4408720166403208,0.6270226855123204,3.155879462073115
structure 28,140.47222222222223,1.315134675372182,1.2681334824749575,0.5696163777174156,3.085422852461988
structure 29,156.52777777777777,1.3648936180339335,1.343853469526317,0.4979102224186181,3.321955725251709
structure 30,143.97222222222223,1.332529836625614,1.3236624882574717,1.0000450236250675,3.212230153699377
structure 31,135.33333333333334,1.48327692955168,1.5233147436004213,1.00237072005177,2.91801227175422
structure 32,128.86111111111111,1.3210534103033085,1.322632892716253,0.5348713264914325,3.12376254701529
structure 33,97.94444444444446,1.5676001166971496,1.499054220255646,0.8442875804852288,2.65826034170168
structure 34,116.22222222222224,1.3375637058227503,1.3456545914300435,0.9846329937098672,2.8307212073403734
structure 35,120.44444444444446,1.4415309592210004,1.4884304405516668,0.8015363128491619,2.9494842560388026
structure 36,115.80555555555556,1.3485444524245,1.2856475810419363,0.8701738489184757,2.7638314189882256
structure 37,142.19444444444446,1.315134675372182,1.2681334824749575,0.6531608022568759,3.142829815310012
structure 38,132.38888888888889,1.3104367889765138,1.3139116543874043,0.7364347368551204,2.8800773232107035
structure 39,116.0277777777778,1.347742435053514,1.288704157383242,0.7707290522917973,2.9628631447094227
structure 40,154.97222222222223,1.415185313761353,1.442824537061262,0.5347194088629732,3.261391384768056
structure 41,155.0,1.373368339318375,1.2899754871521083,1.1874764017119437,3.1406765431258075
structure 42,158.30555555555554,1.3197512886184597,1.3108486619684905,0.7152270143755045,3.3451758098774627
structure 43,138.72222222222223,1.3196942294768186,1.423150135110403,0.8670919706635696,3.0334953510939737
structure 44,139.72222222222223,1.3293281458714374,1.3831745050598117,1.015701319446368,3.016955813322477
structure 45,145.72222222222223,1.3295652227275003,1.3244859002949512,0.8758302205668642,3.1014500258212805
structure 46,164.88888888888889,1.314446985672094,1.305510384435494,0.7335518082553059,3.5892496054439755
structure 47,124.3888888888889,1.3372833555962005,1.2751951587445285,0.8980959681003762,2.7718324830787995
structure 48,149.55555555555554,1.4151853137613533,1.442824537061262,0.9488781162474696,3.195620017482148
structure 49,154.97222222222223,1.3066555633409755,1.346466417487554,0.960106620394176,3.2200170363378806
structure 50,174.66666666666669,1.321493245609294,1.3451089762738355,0.8488729493295702,3.5194445180797778
structure 51,155.2222222222222,1.3211714427684595,1.315614550065054,0.8109807593217944,3.1320857951032965
structure 52,130.5,1.5183544285951818,1.564454269064057,0.8910262677616999,2.866879675578165
structure 53,150.55555555555554,1.338598608874643,1.2645928936234936,0.8676720180295486,3.088299740240513
structure 54,132.33333333333334,1.3403947787524706,1.3913989853457704,0.9560672060494434,2.998684367009318
structure 55,127.44444444444446,1.4356901941726925,1.4905970987808272,0.7202102137428525,2.940830901210226
structure 56,150.86111111111111,1.379163226552243,1.3582279311136294,0.5614893812617587,3.2731671091841497
structure 57,157.52777777777777,1.3036784614632069,1.264456281451807,0.5683629655377705,3.397296229070077
structure 58,120.66666666666666,1.3969848393183752,1.3915386758583583,0.8046381371932032,2.8383789182455885
structure 59,132.61111111111114,1.314266876464929,1.3150142365134982,0.6494169870119695,3.029429019028585
structure 60,168.91666666666669,1.3331803140983571,1.318077570170641,1.169863757387182,3.341437282987904
structure 61,186.27777777777777,1.3584713555181862,1.2844926888339905,0.941202928938362,3.470875275025456
structure 62,147.55555555555554,1.3126365220282692,1.2696142677806348,0.4903082004842753,3.2356125299276117
structure 63,122.44444444444446,1.3267712765398392,1.3330310447302391,0.8262766502929367,2.9408309012102265
structure 64,147.3888888888889,1.3392063232692726,1.2722073016395157,1.054878361668154,3.101450025821281
structure 65,135.11111111111111,1.6855480933577198,1.7138058494724373,0.8323863636363636,3.0740515864436206
structure 66,154.80555555555554,1.4162615626956054,1.37871485121239,0.5840872984445757,3.341458521250729
structure 67,168.72222222222223,1.3097110008985535,1.3007344820124909,0.6503568350315873,3.462100979400688
structure 68,156.3888888888889,1.3241615433335912,1.2696624884717531,0.953076093371594,3.220049940123637
structure 69,167.08333333333334,1.350106275725895,1.279254831594215,0.968318088103089,3.2997197295943463
structure 70,173.0,1.334183421521851,1.318245698101152,0.8015866848647267,3.499027643309509
structure 71,165.75,1.4439141646582,1.393548811931847,0.8833039048327566,3.2983994358005484
structure 72,122.61111111111111,1.3121581799328892,1.387122577113332,0.9092645962883452,2.9194999334303477
structure 73,152.55555555555557,1.323723595281643,1.3165467750755144,0.7836434204699333,3.190718355317404
structure 74,148.05555555555554,1.3295652227275003,1.3244859002949512,0.8112129306840056,3.154531492673607
structure 75,152.22222222222223,1.3178217425949064,1.3134723770844745,1.077362012412005,3.143638966007823
structure 76,135.66666666666669,1.340012926144414,1.4004275186092692,0.9021572209386948,2.9322024514915883
structure 77,126.55555555555556,1.309126979636629,1.367163254995586,0.6409577986506153,2.8656125524381486
structure 78,171.05555555555554,1.306485655508294,1.29874391133366,0.6841469400520441,3.559126179029935
structure 79,155.0,1.3422988651113004,1.444947227680489,0.9632499664444542,3.1295636094799613
structure 80,149.72222222222223,1.4138220651113005,1.5138058298960453,1.0111477448087365,3.09152849231805
structure 81,158.30555555555554,1.3066555633409758,1.346466417487554,0.6797511625994883,3.287340993575627
structure 82,142.55555555555554,1.4721718571718891,1.425168082841615,0.8805333282648773,3.089979162894545
structure 83,140.69444444444446,1.3179382313422858,1.272612028674306,0.5186610437628322,3.2387587487096083
structure 84,139.97222222222223,1.3485444524245,1.2856475810419363,0.958100411349014,3.1268949119936296
structure 85,141.47222222222223,1.349392299359543,1.2822494528812205,1.0309757881052972,3.0905176054030536
structure 86,136.02777777777777,1.3891147104670811,1.4227968007952936,0.7958765132131966,3.086450312063397
structure 87,127.77777777777776,1.3210534103033085,1.322632892716253,0.73132806993559,2.9819712722960423
structure 88,111.30555555555556,1.3612171264788278,1.2919398633772767,0.8835100408207995,2.760692628460675
structure 89,115.80555555555556,1.3485444524245,1.2856475810419363,0.8060812106885203,2.80143092317875
structure 90,132.47222222222223,1.4035034846348236,1.4408720166403208,0.6139662764310254,3.0565515004852
structure 91,124.30555555555556,1.338044236779486,1.2802877319407284,0.7543060607760473,2.990957936989992
structure 92,141.72222222222223,1.4519277425949062,1.4064207672495137,0.7399386581385985,3.154147786540056
structure 93,137.02777777777777,1.399606538400917,1.3740297560427663,0.8132690896591542,3.0854282430732933
structure 94,133.72222222222223,1.3403947787524708,1.3913989853457709,1.03489547699468,3.06739928168885
structure 95,142.22222222222223,1.3505227619396003,1.2774517968683148,0.8923184919263543,3.044768870420484
structure 96,161.47222222222223,1.3903225227688412,1.3579670597381532,0.8440878096663061,3.2719204836199225
structure 97,148.22222222222223,1.432566102078143,1.3914985551266923,0.6372093020309277,3.1489344969185944
structure 98,131.02777777777777,1.4058093997929215,1.376844821747152,0.8146819072022038,3.086450312063397
structure 99,152.27777777777777,1.298697769423941,1.297490375969919,0.559532254811832,3.46240781229755
structure 100,133.69444444444446,1.4058093997929213,1.3768448217471518,0.5550951528769102,3.180883131166228
structure 101,133.61111111111111,1.3216536562604393,1.2716562291312792,0.5969640249576817,3.037212175940032
structure 102,166.33333333333334,1.3415567045870231,1.3251535904798886,0.7855919882914794,3.31680976114343
structure 103,140.41666666666669,1.3403216341909512,1.331443494687554,0.8552920164232878,3.152004809582696
