,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
53,1.5,23,48.0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.88,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
54,1.5,23,48.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.5146,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
55,1.5,23,20.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.4658,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
56,1.5,23,20.0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.16962,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
57,1.5,23,20.0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.8697999999999999,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
58,1.5,23,20.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,2.0144,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
59,1.5,23,20.0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.5898999999999999,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
60,1.5,23,20.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.4542,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
61,10.0,23,48.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.8612,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
62,4.0,23,24.0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1.16962,74.22222222222223,1.422045961939599,1.3194555899077591,1.4078762306610408,2.413324848196347
63,4.0,23,24.0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1.16962,72.88888888888889,1.3963811458714377,1.4392054989987764,1.431334622823985,2.413324848196347
64,2.0,23,24.0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1.16962,121.66666666666669,1.560450968283,1.366055334025992,1.1172791652698624,2.1991790108050533
65,10.0,23,48.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.8697999999999999,100.0277777777778,1.5222337720480004,1.357980623512513,0.8197323147122867,1.9440270605904144
66,10.0,23,48.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.8697999999999999,88.61111111111111,1.6438370563087277,1.3730248968446022,1.0049232882986032,2.1045748830255446
67,10.0,23,48.0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8697999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
68,10.0,23,48.0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0.8697999999999999,115.22222222222224,1.7935918979871788,2.210887719710175,0.9226315789473684,1.7191288124989936
69,10.0,23,48.0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0.8697999999999999,120.72222222222224,1.708633339318375,1.365988541280526,0.9410840395818216,1.6805240088223
70,10.0,23,48.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.8697999999999999,127.16666666666669,1.429673823459875,1.3303706558527886,1.0064139593251398,2.065067806452197
71,10.0,23,48.0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.8697999999999999,137.55555555555554,1.8122839123127887,1.3354676003856385,0.9846492874783076,1.6319538333928134
72,20.0,23,24.0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8697999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
73,5.0,23,48.0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8697999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
74,15.0,80,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
75,15.0,80,48.0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8697999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
76,15.0,80,48.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.5898999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
77,5.0,23,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
78,10.0,23,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
79,10.0,23,48.0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0.8612,120.72222222222224,1.708633339318375,1.365988541280526,0.9410840395818216,1.6805240088223
80,10.0,23,48.0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0.8612,115.22222222222224,1.7935918979871788,2.210887719710175,0.9226315789473684,1.7191288124989936
81,10.0,23,48.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.8612,73.0,1.769060301616333,1.3555527029948382,1.1747762940528637,2.027316592028924
82,10.0,23,48.0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0.8612,120.72222222222224,1.708633339318375,1.3659885412805262,0.9414638535418992,1.7389810938996062
83,10.0,23,48.0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.8612,111.44444444444446,1.743002027683484,1.357195532773538,1.1676082862523542,1.8171364650521789
84,10.0,23,48.0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.8612,137.55555555555554,1.8122839123127887,1.3354676003856385,0.9846492874783076,1.6319538333928134
85,10.0,23,48.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.8612,106.16666666666669,1.497551119091167,1.352139055488792,1.0892309054420963,2.1786089649030247
86,10.0,23,48.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.8612,100.0277777777778,1.5222337720480004,1.357980623512513,0.8197323147122867,1.9440270605904144
87,10.0,23,48.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.8612,88.61111111111111,1.6438370563087277,1.3730248968446022,1.0049232882986032,2.1045748830255446
88,10.0,60,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
89,10.0,80,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
90,15.0,80,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
91,15.0,80,48.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
