,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%),R2_C,R2_H,R2_Ph,under_Ar,under_O2,under_air
79,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,60,24.0,0.0,0.0,68.0,0,0,1,0,0,1
80,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,23,36.0,0.0,0.0,94.0,1,0,0,0,0,1
81,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,20.0,0.0,58.0,1,0,0,0,0,1
82,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,16.0,0.0,20.0,97.0,1,0,0,0,0,1
83,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,16.0,0.0,10.0,89.0,1,0,0,0,0,1
84,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,36.0,0.0,10.0,72.0,1,0,0,0,0,1
85,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.0,23,36.0,0.0,20.0,0.0,1,0,0,0,0,1
86,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,20.0,94.0,1,0,0,0,0,1
87,CC1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,10.0,23,24.0,0.0,20.0,19.0,1,0,0,0,0,1
88,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,99.0,1,0,0,0,1,0
89,CC1=CC=C(F)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,80.0,1,0,0,0,1,0
90,CC1=CC=C(Cl)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,97.0,1,0,0,0,1,0
91,CC1=CC=C(Br)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,98.0,1,0,0,0,1,0
92,CC1=CC=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,75.0,1,0,0,0,1,0
93,CC1=CC=C(OC)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,95.0,1,0,0,0,1,0
94,CC1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,95.0,1,0,0,0,1,0
95,CC1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,81.0,1,0,0,0,1,0
96,CC1=CC(Br)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,95.0,1,0,0,0,1,0
97,CC1=CC=CC(OC)=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,89.0,1,0,0,0,1,0
98,CC1=CC(C)=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,99.0,1,0,0,0,1,0
99,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,48.0,0.0,0.0,96.0,0,0,1,0,1,0
100,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,72.0,0.0,0.0,92.0,0,0,1,0,1,0
101,CC1=CSC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,48.0,0.0,0.0,83.0,1,0,0,0,1,0
102,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,12.0,0.0,0.0,99.0,0,1,0,0,1,0
