entry,R1-,R2,organocatalyst,organocatalyst(mol%),under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%)
11,CC1=CC=CC=C1,C,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10,air,23,48,0,0,8
12,CC1=CC=CC=C1,C,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,10,air,23,48,0,0,17
13,CC1=CC=CC=C1,C,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10,air,23,48,0,0,37
14,CC1=CC=CC=C1,C,O=C1C=C(OC)C2=CC=CC=C2C1=O,10,air,23,48,0,0,21
15,CC1=CC=CC=C1,C,,10,air,23,48,0,0,44
16,CC1=CC=CC=C1,C,,10,air,23,48,0,0,54
17,CC1=CC=CC=C1,C,,10,air,23,48,0,0,45
18,CC1=CC=CC=C1,C,,10,air,23,48,0,0,36
19,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,60,48,0,0,21
20,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,80,48,0,0,7
21,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,air,80,48,0,0,0
22,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,O2,80,48,0,0,2
23,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,Ar,80,48,0,0,4
24,CC1=CC=CC=C1,C,O=C1C=CC(C=C1C(C)(C)C)=O,15,air,80,48,0,0,14
,,,,,,,,,,
3d,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,86
3e,CC1=CC=C(C)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,67
3f,CC1=CC=C(OC)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,69
3g,CC1=CC=C(F)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,88
3h,CC1=CC=C(Cl)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,80
3i,CC1=CC=C(Br)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,84
3j,CC1=CC=CC(Cl)=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,79
3k,CC1=CC=CC(Br)=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,82
3l,CC1=CC=C(Cl)C(Cl)=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,90
