,entry,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%),R2_C,R2_H,R2_Ph,under_Ar,under_O2,under_air
26,3,NCC1=CC=C(C)C=C1,OC1=C2C(C=CC=C(O)C2=O)=CC(O)=C1O,2.0,23,24.0,0.0,0.0,75.0,0,1,0,0,0,1
30,1,CC1=CC=C(OC)C=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,39.0,0,1,0,0,1,0
31,2,CC1=CC=C(OC)C=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,64.0,0,1,0,0,1,0
32,3,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,69.0,0,1,0,0,1,0
33,4,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,47.0,0,1,0,0,1,0
34,5,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,63.0,0,1,0,0,1,0
35,6,CC1=CC=C(OC)C=C1,O=C1C(CCCCC)=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,9.0,0,1,0,0,1,0
36,7,CC1=CC=C(OC)C=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,0.0,0.0,29.0,0,1,0,0,1,0
41,12,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,20.0,23,24.0,0.0,0.0,91.0,0,1,0,0,1,0
42,13,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,0.0,0.0,33.0,0,1,0,0,1,0
43,14,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,18.0,5.0,0.0,99.0,0,1,0,0,1,0
44,15,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,18.0,2.0,0.0,99.0,0,1,0,0,1,0
45,16,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,1.0,23,60.0,1.0,0.0,80.0,0,1,0,0,1,0
46,17,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.5,23,60.0,0.5,0.0,65.0,0,1,0,0,1,0
47,18,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,18.0,1.0,0.0,83.0,0,1,0,0,1,0
48,19,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,1.0,23,18.0,2.0,0.0,43.0,0,1,0,0,1,0
49,20,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,60.0,2.0,0.0,81.0,0,1,0,0,1,0
51,2a,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,93.0,0,1,0,0,1,0
52,2b,CC1=CC=C(Cl)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,96.0,0,1,0,0,1,0
53,2c,CC1=CC=C(C)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,95.0,0,1,0,0,1,0
54,2d,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,84.0,0,1,0,0,1,0
55,2e,CC1=CC=CC=C1C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,88.0,0,1,0,0,1,0
56,2f,CC1=CC=CC=C1Cl,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,77.0,0,1,0,0,1,0
57,2g,CC1=CC=CC=C1Br,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,90.0,0,1,0,0,1,0
58,2h,CC1=CC=CC(C)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,90.0,0,1,0,0,1,0
59,2i,CC1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,92.0,0,1,0,0,1,0
60,2j,CC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,57.0,0,1,0,0,1,0
61,2k,CC1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,94.0,0,1,0,0,1,0
62,2l,CC1=CC=CO1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,5.0,0.0,51.0,0,1,0,0,1,0
63,2m,CC1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,5.0,0.0,56.0,0,1,0,0,1,0
67,1,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,0,1,0,0,0,1
68,2,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,0,1,0,0,0,1
69,3,CC1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,0,1,0,0,0,1
70,4,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,0.0,0.0,32.0,1,0,0,0,0,1
71,5,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,46.0,1,0,0,0,0,1
72,6,CC1=CC=CC=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,36.0,1,0,0,0,0,1
73,7,CC1=CC=CC=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,44.0,1,0,0,0,0,1
74,8,CC1=CC=CC=C1,O=C1C=CC2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,11.0,1,0,0,0,0,1
75,9,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,10.0,23,48.0,0.0,0.0,40.0,1,0,0,0,0,1
76,10,CC1=CC=CC=C1,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,21.0,1,0,0,0,0,1
77,11,CC1=CC=CC=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,0.0,0.0,8.0,1,0,0,0,0,1
78,12,CC1=CC=CC=C1,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,17.0,1,0,0,0,0,1
79,13,CC1=CC=CC=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,37.0,1,0,0,0,0,1
80,14,CC1=CC=CC=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,21.0,1,0,0,0,0,1
85,19,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,60,48.0,0.0,0.0,21.0,1,0,0,0,0,1
86,20,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,80,48.0,0.0,0.0,7.0,1,0,0,0,0,1
87,21,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,1,0,0,0,0,1
88,22,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,2.0,1,0,0,0,1,0
89,23,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,4.0,1,0,0,1,0,0
90,24,CC1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,15.0,80,48.0,0.0,0.0,14.0,1,0,0,0,0,1
92,3d,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,86.0,1,0,0,0,0,1
93,3e,CC1=CC=C(C)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,67.0,1,0,0,0,0,1
94,3f,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,69.0,1,0,0,0,0,1
95,3g,CC1=CC=C(F)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,88.0,1,0,0,0,0,1
96,3h,CC1=CC=C(Cl)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,80.0,1,0,0,0,0,1
97,3i,CC1=CC=C(Br)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,84.0,1,0,0,0,0,1
98,3j,CC1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,79.0,1,0,0,0,0,1
99,3k,CC1=CC=CC(Br)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,82.0,1,0,0,0,0,1
100,3l,CC1=CC=C(Cl)C(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,90.0,1,0,0,0,0,1
101,3m,CC1=CC=C([No][No])C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,65.0,1,0,0,0,0,1
102,3n,CC1=CC=C(C)C=C1.O=C=O,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,80.0,1,0,0,0,0,1
103,3o,CC1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,76.0,1,0,0,0,0,1
104,3q,CC1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,89.0,1,0,0,0,0,1
105,3r,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,60,24.0,0.0,0.0,68.0,0,0,1,0,0,1
112,6,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,23,36.0,0.0,0.0,94.0,1,0,0,0,0,1
113,7,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,20.0,0.0,58.0,1,0,0,0,0,1
114,15,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,16.0,0.0,20.0,97.0,1,0,0,0,0,1
115,16,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,16.0,0.0,10.0,89.0,1,0,0,0,0,1
116,17,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,36.0,0.0,10.0,72.0,1,0,0,0,0,1
117,18,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.0,23,36.0,0.0,20.0,0.0,1,0,0,0,0,1
118,19,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,20.0,94.0,1,0,0,0,0,1
119,20,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,20.0,25.0,1,0,0,0,0,1
120,21,CC1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,10.0,23,24.0,0.0,20.0,19.0,1,0,0,0,0,1
124,2a,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,99.0,1,0,0,0,1,0
125,2b,CC1=CC=C(F)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,80.0,1,0,0,0,1,0
126,2c,CC1=CC=C(Cl)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,97.0,1,0,0,0,1,0
127,2d,CC1=CC=C(Br)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,98.0,1,0,0,0,1,0
129,2f,CC1=CC=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,75.0,1,0,0,0,1,0
130,2g,CC1=CC=C(OC)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,95.0,1,0,0,0,1,0
131,2h,CC1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,95.0,1,0,0,0,1,0
132,2h-c,CC1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,81.0,1,0,0,0,1,0
133,2i,CC1=CC(Br)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,95.0,1,0,0,0,1,0
134,2j,CC1=CC=CC(OC)=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,0.0,0.0,89.0,1,0,0,0,1,0
135,2k,CC1=CC(C)=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,0.0,0.0,99.0,1,0,0,0,1,0
136,2l,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,48.0,0.0,0.0,96.0,0,0,1,0,1,0
137,2l-c,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,72.0,0.0,0.0,92.0,0,0,1,0,1,0
138,2m,CC1=CSC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,48.0,0.0,0.0,83.0,1,0,0,0,1,0
141,2p,CC1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,12.0,0.0,0.0,99.0,0,1,0,0,1,0
143,1,CC1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,5.0,90,24.0,0.0,0.0,81.0,0,1,0,0,1,0
144,2,CC1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,5.0,90,12.0,0.0,0.0,14.0,0,1,0,0,1,0
145,3,CC1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,5.0,90,24.0,0.0,0.0,74.0,0,1,0,0,1,0
146,4,CC1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,5.0,90,12.0,0.0,0.0,15.0,0,1,0,0,1,0
147,5,CC1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,24.0,0.0,0.0,90.0,0,1,0,0,1,0
148,6,CC1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,12.0,0.0,0.0,81.0,0,1,0,0,1,0
149,7,CC1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,8.0,0.0,0.0,43.0,0,1,0,0,1,0
150,8,CC1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,12.0,0.0,0.0,88.0,0,1,0,0,1,0
151,9,CC1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,6.0,0.0,0.0,95.0,0,1,0,0,1,0
152,10,CC1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,2.0,0.0,0.0,65.0,0,1,0,0,1,0
153,11,CC1=CC=CC=C1,CC(/N=N/C(C)(C#N)C)(C#N)C,5.0,90,6.0,0.0,0.0,33.0,0,1,0,0,1,0
154,12,CC1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,5.0,90,6.0,0.0,0.0,93.0,0,1,0,0,1,0
155,13,CC1=CC=CC=C1,O=C1C(C=C(O)C(C(C)(C)C)=C1)=O,5.0,90,6.0,0.0,0.0,84.0,0,1,0,0,1,0
157,2a,CC1=CC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,87.0,0,1,0,0,1,0
158,2b,CC1=C(C)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,85.0,0,1,0,0,1,0
159,2c,CC1=CC=C(C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,85.0,0,1,0,0,1,0
160,2d,CC1=C(OC)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,86.0,0,1,0,0,1,0
161,2e,CC1=CC(OC)=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,84.0,0,1,0,0,1,0
162,2f,CC1=CC=C(OC)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,68.0,0,1,0,0,1,0
163,2g,CC1=CC=C(C(C)(C)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,88.0,0,1,0,0,1,0
164,2h,CC1=CC=C(Cl)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,85.0,0,1,0,0,1,0
165,2i,CC1=CC=C(C(F)(F)F)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,68.0,0,1,0,0,1,0
166,2j,CC1=C(C=CC=C2)C2=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,87.0,0,1,0,0,1,0
167,2k,CC1=CC=CO1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,37.0,0,1,0,0,1,0
168,2l,CC1=NC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,9.0,0,1,0,0,1,0
169,2m,CC1=CC=CS1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,84.0,0,1,0,0,1,0
173,8,CC1=CC=CC=C1,-,0.0,23,6.0,0.0,0.0,6.0,0,1,0,0,1,0
179,2a,CC1=CC=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,86.0,0,1,0,0,1,0
180,2b,CC1=C(C)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,39.0,0,1,0,0,1,0
181,2c,CC1=CC=C(C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,88.0,0,1,0,0,1,0
182,2d,CC1=C(OC)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,83.0,0,1,0,0,1,0
183,2e,CC1=CC(OC)=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,83.0,0,1,0,0,1,0
184,2f,CC1=CC=C(OC)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,86.0,0,1,0,0,1,0
185,2g,CC1=CC=C(C(C)(C)C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,87.0,0,1,0,0,1,0
188,1,CC1=CC=CC=C1,-,5.0,90,24.0,0.0,0.0,0.0,0,1,0,0,1,0
189,2,CC1=CC=CC=C1,OC1=CC=CC=C1,5.0,90,24.0,0.0,0.0,7.0,0,1,0,0,1,0
190,3,CC1=CC=CC=C1,O=C(C1=CC=CC=C1)O,5.0,90,24.0,0.0,0.0,32.0,0,1,0,0,1,0
191,4,CC1=CC=CC=C1,OC1=C(C(O)=O)C=CC=C1,5.0,90,24.0,0.0,0.0,80.0,0,1,0,0,1,0
192,5,CC1=CC=CC=C1,O=C(C1=C(OC)C=CC=C1)O,5.0,90,24.0,0.0,0.0,6.0,0,1,0,0,1,0
193,6,CC1=CC=CC=C1,OC1=C(C(OC)=O)C=CC=C1,5.0,90,24.0,0.0,0.0,11.0,0,1,0,0,1,0
194,7,CC1=CC=CC=C1,OC1=C(CC(O)=O)C=CC=C1,5.0,90,24.0,0.0,0.0,32.0,0,1,0,0,1,0
195,8,CC1=CC=CC=C1,CC(O)=O,5.0,90,24.0,0.0,0.0,3.0,0,1,0,0,1,0
196,9,CC1=CC=CC=C1,CC1=CC=C(S(=O)(O)=O)C=C1,5.0,90,24.0,0.0,0.0,0.0,0,1,0,0,1,0
198,1n,CC1=CC=C(CO)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,50.0,0,1,0,0,1,0
199,1o,CC1=CC=C(C(O)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,40.0,0,1,0,0,1,0
200,1p,CC1=CC=C(O)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,0.0,0,1,0,0,1,0
202,1,CC1=CC=CC=C1,OC1=CC(O)=CC=C1C(O)=O,5.0,90,2.0,0.0,0.0,4.0,0,1,0,0,1,0
203,2,CC1=CC=CC=C1,OC1=CC=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,6.0,0,1,0,0,1,0
204,3,CC1=CC=CC=C1,OC1=CC=CC=C1C(O)=O,5.0,90,2.0,0.0,0.0,3.0,0,1,0,0,1,0
205,4,CC1=CC=CC=C1,OC1=CC=C(C(O)=O)C=C1,5.0,90,2.0,0.0,0.0,3.0,0,1,0,0,1,0
