,SMILES
267,Cc1cccc(N/C=C(/C#N)C(=O)c2ccccc2)c1C(=O)O
268,COC(=O)c1cc(NC(=O)CN2CCc3ccccc3C2)cc(C(=O)OC)c1.O=C(O)C(=O)O
269,N#Cc1cccc(NC(=O)COC(=O)c2cc3ccccc3cc2O)c1
270,COc1ccc(C(C)=O)cc1COc1ccc(C#N)cc1
271,COc1cccc(OC)c1C(=O)OCc1ccccc1C#N
272,CCOc1ccc(C(C)=O)cc1COc1ccc(C#N)cc1OC
273,CC(=O)c1ccc(C)cc1OCc1ccccc1C#N
274,Cc1ccc(OCc2ccccc2C#N)c2c1C(C)CC2=O
275,COc1cccc(C(=O)COC(=O)c2ccc(C#N)cc2)c1
276,COc1ccc(C(=O)C(C#N)C(=O)c2ccc(C)c(OC)c2)cc1
277,Cc1cccc(C(=O)OCCOc2ccc(C#N)cc2)c1O
278,COc1ccc(OCc2ccc(C#N)cc2)c(C(=O)O)c1
279,N#CCc1ccc(NC(=O)COC(=O)c2ccc3c(c2N)C(=O)c2ccccc2C3=O)cc1
280,Cc1ccc(O)c(C(C)(C)C)c1
281,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1
282,CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC
283,COC(=O)c1ccc(-c2ncccc2C#N)cc1
284,COc1cc(CC#N)cc(OC)c1O
285,COc1ccc(CC#N)c(OC)c1OC
286,COc1cc(OC)cc(C(C)(C)C#N)c1
287,CCOC(=O)c1ccc(Nc2cccc(C#N)c2)cc1
288,N#Cc1cc(N)cc(O)c1
289,N#Cc1ccc(Oc2ccc(OC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1
290,N#Cc1ccc(-c2cccc(C(=O)O)c2)cc1
291,N#Cc1ccc(Oc2ccc3c4c(cccc24)C(=O)OC3=O)cc1C#N
292,COC(=O)c1ccc(N)cc1C#N
293,COc1cccc(CC(C#N)C(=O)Nc2cccc(C)c2C)c1
294,COc1ccc(CC(C#N)C(=O)Nc2cccc(C)c2C)c(OC)c1
295,COc1cccc([N+](=O)[O-])c1C#N
296,CC(C)(C)c1cc(CC#N)cc(C(C)(C)C)c1O
297,COc1ccc(C(C)=O)cc1CC#N
298,COc1ccc(C(C)(C)C#N)cc1OC
299,COC(=O)c1cc(/C=C(\C#N)C(=O)O)c(OC)cc1OC
300,N#Cc1ccc(Oc2ccc(C(=O)O)cc2)cc1
301,COc1cc(C(CC#N)CC#N)cc(OC)c1OC
302,Cc1cccc(NC(=O)/C(C#N)=C/c2ccccc2OCc2ccc(C(=O)O)cc2)c1C
303,CCOc1ccc(C(C)=O)cc1COc1ccccc1C#N
304,N#Cc1ccc(COC(=O)c2ccc(O)cc2)cc1
305,COc1cc(CNCc2ccccc2)ccc1OCC(O)c1cc(C)c(C)cc1C.O=C(O)C(=O)O
306,CCOC(=O)Nc1cccc(C(=O)OCc2ccc(C#N)cc2)c1
