,yield,412_organocatalyst,1948_organocatalyst,302_organocatalyst,1485_organocatalyst,1796_organocatalyst,892_organocatalyst,946_R1-,2006_organocatalyst,280_organocatalyst,1820_R1-,1813_R1-,934_organocatalyst,1214_organocatalyst,1114_R1-,778_organocatalyst,523_R1-,82_R1-,876_organocatalyst,1030_organocatalyst
10,33.0,-0.5126694600939505,0.2115253334839214,-0.7441178102861326,-0.0408821840097971,0.9954225589695548,-0.5220925545334519,-0.9338867994574804,-0.8209354629356262,-0.6567581566105023,-1.0632291354613486,-0.9548414685938388,-0.5625360024278339,-2.040174334649365,-1.087699647379818,-0.7967303729714664,-1.116867108954793,-0.8596419478719819,-0.4134412410967064,0.909553506652248
11,93.0,1.3643285487298782,1.4884671694337863,1.0836663572003455,1.1972629838508448,0.4379846921494772,1.327236178219779,-0.9338867994574804,0.826048200562686,1.2430690056464688,-1.0632291354613486,-0.9548414685938388,1.7715498449396323,1.1294414518807394,-1.087699647379818,2.121955838222906,-1.116867108954793,-0.8596419478719819,1.6959699970232571,-0.0921655525425867
12,84.0,1.9540752990810293,1.9900695868172056,2.0775950724355208,1.0604175183157312,0.6360958389296878,1.327236178219779,-0.9338867994574804,0.826048200562686,1.5610589918748785,-1.0632291354613486,-0.9548414685938388,0.2117736143383135,1.2059366196995691,-1.087699647379818,2.121955838222906,-1.116867108954793,-0.8596419478719819,0.8344637021643148,-0.612980565941137
13,87.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
14,85.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,1.0143859236275947,0.4439599673021102,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,0.5032660322826934,-0.5880827047105909,-0.0921655525425867
15,85.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,1.0143859236275947,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,1.8691072746829436,-0.5880827047105909,-0.0921655525425867
16,86.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,0.8451672084107738,1.170917160603126,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.3053609796535012,-0.5880827047105909,-0.0921655525425867
17,84.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,0.8451672084107738,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,-0.6414650612129099,-0.5880827047105909,-0.0921655525425867
18,68.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,0.3810068651938893,-0.831765574858813,0.1968307319176934,0.8088328444728345,1.170917160603126,-0.6816169632266371,0.0433908039550543,0.7372147759914482,-0.5027093945162604,0.8889250455614218,0.078790666210544,-0.5880827047105909,-0.0921655525425867
19,88.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,1.0792776476906778,-0.831765574858813,0.1968307319176934,1.0143859236275947,1.170917160603126,-0.6816169632266371,0.0433908039550543,1.03099485623337,-0.5027093945162604,0.8889250455614218,1.8691072746829436,-0.5880827047105909,-0.0921655525425867
