,yield,MAXssssC_x,MINssssC_x,MDEC-34_y,MAXsF_x,MINsF_x,MDEC-13_y,MINaaS_x,MAXaaS_x,GGI1_y,MAXssssC_y,MINssssC_y,ETA_eta_BR_y,AATSC0d_y,mZagreb1_y,ETA_eta_B_y,GATS5Z_x,ATSC4Z_y,ATSC4m_y,Xc-3d_y
10,33.0,,,,,,,,,1.9491010684093248,-4.32391563601088,-4.323915636010882,0.9458578774991064,0.8206302351431471,1.1358322146046518,1.5676733534993794,-0.9330409891363706,-0.9989236171353968,-0.9135786758922848,2.078076715940325
11,93.0,,,0.1856953381770524,,,0.4917163095737314,,,1.4850293854547236,-0.4935047561453021,-0.4935047561453019,1.6605622634917532,1.572579464791497,1.021408950704254,1.6152500499827158,-0.9330409891363706,1.4892041132951193,1.526601026611586,1.6618200096104685
12,84.0,,,0.1856953381770524,,,0.4917163095737314,,,1.4850293854547236,-0.2175518086500624,-0.2175518086500623,1.6605622634917532,1.572579464791497,1.021408950704254,1.6152500499827158,-0.9330409891363706,1.5762309224704605,1.6074823760523107,1.6618200096104685
13,87.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078
14,85.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.1633059077592081,0.1178522016611382,0.0255637692439304,-0.4640111756437078
15,85.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.0840803037175177,0.1178522016611382,0.0255637692439304,-0.4640111756437078
16,86.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.2175040614055033,0.1178522016611382,0.0255637692439304,-0.4640111756437078
17,84.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.2548475734999155,0.1178522016611382,0.0255637692439304,-0.4640111756437078
18,68.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.26885139053532,0.1178522016611382,0.0255637692439304,-0.4640111756437078
19,88.0,0.9999999999999998,0.9999999999999998,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.3927913557058424,0.1178522016611382,0.0255637692439304,-0.4640111756437078
