,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),389_R1-,891_R1-,1057_R1-,1199_R1-,1625_R1-,1858_R1-,1_organocatalyst,84_organocatalyst,114_organocatalyst,314_organocatalyst,322_organocatalyst,389_organocatalyst,456_organocatalyst,586_organocatalyst,695_organocatalyst,728_organocatalyst,736_organocatalyst,745_organocatalyst,781_organocatalyst,807_organocatalyst,875_organocatalyst,1057_organocatalyst,1088_organocatalyst,1160_organocatalyst,1199_organocatalyst,1416_organocatalyst,1476_organocatalyst,1602_organocatalyst,1607_organocatalyst,1750_organocatalyst,1917_organocatalyst
76,0.0,0,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
77,32.0,1,0,1,0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
78,46.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
79,36.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0
80,44.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0
81,11.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
82,40.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0
83,21.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0
84,8.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
85,17.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
86,37.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
