,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst
57,73.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
58,81.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
59,91.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
60,80.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
61,69.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
62,90.0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
63,5.0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
64,75.0,-1.4070502546681396,-0.935601812799328,-0.171685708586216,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
65,39.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
66,64.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
67,69.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
68,47.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
