,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),598_R1-,2040_R1-,1_organocatalyst,3_organocatalyst,224_organocatalyst,232_organocatalyst,321_organocatalyst,380_organocatalyst,428_organocatalyst,488_organocatalyst,598_organocatalyst,808_organocatalyst,823_organocatalyst,857_organocatalyst,1077_organocatalyst,1085_organocatalyst,1219_organocatalyst,1731_organocatalyst,2017_organocatalyst,2040_organocatalyst
46,3.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
47,3.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
48,87.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
49,76.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
50,93.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
51,90.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
52,91.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
53,78.0,0,1,1,0,-1.541637670332049,-0.935601812799328,1.0873428210460347,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
54,72.0,0,1,1,0,-1.541637670332049,-0.935601812799328,1.0873428210460347,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
55,70.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
56,86.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
57,73.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
58,81.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
59,91.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
60,80.0,0,1,1,0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
61,69.0,1,1,0,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
62,90.0,0,0,0,0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
63,5.0,0,0,0,0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
64,75.0,0,0,0,0,-1.4070502546681396,-0.935601812799328,-0.171685708586216,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
