,yield,organocatalyst(mol%),temp(℃),time(h),704_R1-,1013_R1-,35_organocatalyst,51_organocatalyst,120_organocatalyst,173_organocatalyst,281_organocatalyst,413_organocatalyst,527_organocatalyst,579_organocatalyst,599_organocatalyst,728_organocatalyst,863_organocatalyst,905_organocatalyst,1076_organocatalyst,1128_organocatalyst,1138_organocatalyst,1144_organocatalyst,1196_organocatalyst,1234_organocatalyst,1307_organocatalyst,1763_organocatalyst,1902_organocatalyst,1911_organocatalyst,1993_organocatalyst
48,87.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
49,76.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
50,93.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
51,90.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
52,91.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
53,78.0,-1.541637670332049,-0.935601812799328,1.0873428210460347,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
54,72.0,-1.541637670332049,-0.935601812799328,1.0873428210460347,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
55,70.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
56,86.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
57,73.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
58,81.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
59,91.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
60,80.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
61,69.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
62,90.0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
63,5.0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,75.0,-1.4070502546681396,-0.935601812799328,-0.171685708586216,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
65,39.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
66,64.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
67,69.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
68,47.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
69,63.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
70,9.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
71,29.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0
72,91.0,3.4380967092325845,-0.935601812799328,-0.171685708586216,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
73,33.0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
